iter	Passed	Remaining
0	198	153681
1	355	137257
2	681	175074
3	1161	223604
4	1308	201264
5	1458	186654
6	1611	176531
7	1837	175947
8	2103	178773
9	2315	176929
10	2589	179618
11	2850	181038
12	3113	182246
13	3429	186152
14	3515	177907
15	3643	172620
16	3849	171400
17	4067	170832
18	4177	165990
19	4313	162628
20	4396	157631
21	4454	152261
22	4599	150174
23	4791	149737
24	4923	147519
25	5197	149514
26	5490	151916
27	5655	150684
28	5771	148271
29	5950	147575
30	6017	144225
31	6070	140750
32	6130	137655
33	6183	134591
34	6242	131808
35	6290	128954
36	6339	126282
37	6401	123984
38	6474	122017
39	6613	121350
40	6786	121338
41	6904	120334
42	7102	120746
43	7280	120791
44	7558	122455
45	7901	125054
46	8018	124032
47	8119	122810
48	8201	121345
49	8269	119747
50	8340	118237
51	8454	117392
52	8514	115830
53	8597	114638
54	8666	113291
55	8743	112101
56	8815	110895
57	8878	109597
58	8942	108368
59	9030	107468
60	9212	107683
61	9276	106532
62	9354	105576
63	9414	104438
64	9484	103453
65	9566	102623
66	9631	101630
67	9687	100584
68	9739	99515
69	9786	98420
70	9827	97309
71	9872	96256
72	9926	95322
73	9977	94385
74	10028	93464
75	10082	92597
76	10130	91704
77	10182	90856
78	10231	90012
79	10318	89510
80	10378	88790
81	10433	88051
82	10488	87320
83	10548	86652
84	10598	85907
85	10643	85150
86	10692	84430
87	10734	83678
88	10784	83005
89	10833	82333
90	10893	81759
91	10945	81137
92	10999	80547
93	11061	80016
94	11101	79350
95	11160	78821
96	11228	78368
97	11301	77957
98	11363	77479
99	11411	76915
100	11464	76392
101	11508	75823
102	11587	75489
103	11668	75171
104	11720	74673
105	11770	74174
106	11822	73697
107	11868	73187
108	11917	72709
109	11963	72213
110	12008	71726
111	12053	71245
112	12099	70774
113	12175	70487
114	12219	70023
115	12274	69627
116	12323	69202
117	12386	68862
118	12447	68515
119	12505	68156
120	12559	67777
121	12603	67356
122	12692	67178
123	12821	67209
124	13257	68833
125	13378	68806
126	13492	68737
127	13700	69145
128	13858	69291
129	13955	69133
130	14073	69078
131	14159	68868
132	14243	68647
133	14358	68578
134	14459	68440
135	14527	68150
136	14593	67853
