iter	Logloss
0	0.6390336207
1	0.5993477066
2	0.5685831309
3	0.5399808307
4	0.5117462725
5	0.4889926124
6	0.4610903629
7	0.4362167367
8	0.4243739543
9	0.4059648492
10	0.3906252022
11	0.376724562
12	0.3648714966
13	0.3543208098
14	0.3440420299
15	0.3366799879
16	0.3275121215
17	0.3206491937
18	0.3148048761
19	0.3060530022
20	0.3012567704
21	0.2939902721
22	0.2892335833
23	0.2844449367
24	0.2796060106
25	0.2760890169
26	0.2695107137
27	0.2650948821
28	0.2613609462
29	0.2561532852
30	0.2528206709
31	0.2490055396
32	0.2463157757
33	0.2439196992
34	0.2399795307
35	0.2384075269
36	0.2361031012
37	0.2323664228
38	0.2301132754
39	0.2283242417
40	0.2244489374
41	0.2221832967
42	0.220151521
43	0.2190476367
44	0.2170578329
45	0.2157400357
46	0.2145812789
47	0.2131362595
48	0.2114692232
49	0.2102787909
50	0.2090597882
51	0.2064854296
52	0.2051826244
53	0.2042570697
54	0.2032308223
55	0.202422956
56	0.2013439097
57	0.200139899
58	0.1994884495
59	0.1987647143
60	0.1981586763
61	0.1972236115
62	0.1959473759
63	0.1945864266
64	0.1932605953
65	0.1923713404
66	0.1909851443
67	0.1899864862
68	0.1894550648
69	0.1887446344
70	0.1881856771
71	0.1877386736
72	0.1873819267
73	0.1864748213
74	0.1861048037
75	0.1856825044
76	0.1854158698
77	0.1850447552
78	0.1847025737
79	0.1844561871
80	0.1840649479
81	0.1830220244
82	0.1826684896
83	0.1822972041
84	0.1820465708
85	0.1816720196
86	0.1813300164
87	0.1811385305
88	0.1802577704
89	0.1798691443
90	0.1796033333
91	0.178963894
92	0.1787262446
93	0.1784553113
94	0.1782161487
95	0.1779994042
96	0.1775810142
97	0.177390817
98	0.1771108434
99	0.1769505663
100	0.1767043075
101	0.1765793521
102	0.176043186
103	0.1758136538
104	0.1755312559
105	0.175354927
106	0.1749979541
107	0.1747058454
108	0.1745531668
109	0.1737315393
110	0.1731751639
111	0.1729885311
112	0.1727507018
113	0.1725129855
114	0.172398319
115	0.1722525121
116	0.1720983457
117	0.17185782
118	0.1716521612
119	0.1714492582
120	0.1713504265
121	0.171180342
122	0.1709387074
123	0.1704571091
124	0.1701391933
125	0.1699883385
126	0.1695400389
127	0.1692566703
128	0.1691098735
129	0.1689348318
130	0.1687439732
131	0.1685309804
132	0.1683286556
133	0.1681349252
134	0.1679390291
135	0.1677561139
136	0.1671062356
137	0.1669798131
138	0.1666166716
139	0.1660133419
140	0.1659038853
141	0.1655590817
142	0.1653709744
143	0.1651859411
144	0.1650541006
145	0.1648323766
146	0.1646543769
147	0.1645005345
148	0.1643809272
149	0.1641527135
150	0.1640186106
151	0.1638542429
152	0.1636952441
153	0.1635239393
154	0.1633317607
155	0.1631980667
156	0.1630155944
157	0.162836043
158	0.1627365587
159	0.1626434735
160	0.1625356415
161	0.1624342042
162	0.1623030221
163	0.1621056233
164	0.1618918263
165	0.1616954026
166	0.161591636
167	0.1613496284
168	0.1611165615
169	0.1610232727
170	0.1607722113
171	0.1605490098
172	0.16042666
173	0.1602011085
174	0.1601191937
175	0.1599123368
176	0.1598128005
177	0.1595539912
178	0.1593629751
179	0.159165982
180	0.1589852355
181	0.1587503166
182	0.1586144412
183	0.1584977041
184	0.1583425381
185	0.1582688253
186	0.1581214852
187	0.1579423863
188	0.1577608706
189	0.1576247157
190	0.1573557408
191	0.1571607128
192	0.1569085062
193	0.1566175175
194	0.1564428043
195	0.1562778316
196	0.1561603476
197	0.1559205652
198	0.1556141111
199	0.1554418958
200	0.1553325805
201	0.1552311275
202	0.1550670325
203	0.1548996384
204	0.1547391383
205	0.1546652212
206	0.1545499809
207	0.154418156
208	0.1542550257
209	0.1540932429
210	0.1539785593
211	0.1538729146
212	0.1537513281
213	0.1535524332
214	0.1533945396
215	0.1533096363
216	0.1531242024
217	0.1530605489
218	0.1529608016
219	0.1528447401
220	0.1526987682
221	0.15248984
222	0.1523851043
223	0.1522175787
224	0.1520578783
225	0.1519029575
